,inspection_id,dba_name,license_,facility_type,zip,inspection_date,latitude,longitude,year,category
3641,1343226,la trinidad,2247101.0,grocery store,60623.0,2013-04-19,41.85049016185051,-87.70536206979284,2013,Grocery Store
3649,1072363,monterrey food mart,2247209.0,grocery store,60620.0,2013-04-17,41.75026194676381,-87.66225587318787,2013,Grocery Store
3653,1296312,one stop shop,2069081.0,grocery store,60649.0,2013-04-16,41.76637214916412,-87.57399822500324,2013,Grocery Store
3659,1326952,mobil car wash,2004106.0,grocery store,60628.0,2013-04-15,41.685029586669295,-87.64200453218888,2013,Grocery Store
3667,1106485,city fresh market,1479959.0,grocery store,60659.0,2013-04-09,41.9972784744174,-87.70940735717784,2013,Grocery Store
3671,1227858,key food market,2240288.0,grocery store,60653.0,2013-04-08,41.81531320103716,-87.60653019507049,2013,Grocery Store
3685,1326582,speedy convenient,2245482.0,grocery store,60629.0,2013-03-27,41.77900504590168,-87.69345011858015,2013,Grocery Store
3689,1322425,mini mart,1991846.0,grocery store,60613.0,2013-03-25,41.96166713685557,-87.64976056950601,2013,Grocery Store
3711,1166227,dollar price plus,1868586.0,grocery store,60641.0,2013-03-05,41.93663593117463,-87.72696891450994,2013,Grocery Store
3728,1227761,z   s food   liquor,7382.0,grocery store,60620.0,2013-02-21,41.73575697719737,-87.65782823473583,2013,Grocery Store
3749,1321828,la tuya grocery,1596840.0,grocery store,60623.0,2013-02-13,41.83702156107857,-87.73028552616124,2013,Grocery Store
3754,1321792,austin mart,1992553.0,grocery store,60651.0,2013-02-07,41.89476941876594,-87.76197389292327,2013,Grocery Store
3766,1319365,edy s,2219994.0,grocery store,60637.0,2013-01-31,41.77776928832673,-87.615417280148,2013,Grocery Store
3771,1114649,jimmy foods,1975067.0,grocery store,60616.0,2013-01-29,41.83118112741629,-87.6204126940239,2013,Grocery Store
3778,1321579,dominick s  1703,1574461.0,grocery store,60611.0,2013-01-28,41.891689839806666,-87.62044413482636,2013,Grocery Store
3790,1279367,qorner foods,2013363.0,grocery store,60644.0,2013-01-22,41.87294753276929,-87.76377219082919,2013,Grocery Store
3802,1235607,carniceria la azteca,1354069.0,grocery store,60626.0,2013-01-15,42.01096295270289,-87.67421465771075,2013,Grocery Store
3813,1277610,alkalili enterprises inc,82305.0,grocery restaurant,60639.0,2012-12-27,41.92214330584142,-87.75962876544102,2013,Grocery Store
3849,1277595,sam s mart,2203026.0,grocery store,60624.0,2012-12-21,41.87869416787812,-87.72545342777866,2013,Grocery Store
3857,1151037,target store  t 2344,1915681.0,grocery store,60643.0,2012-12-19,41.67812041266304,-87.66263902716186,2013,Grocery Store
3864,1271482,j s vitamins   more,1869245.0,grocery store,60630.0,2012-12-14,41.97693688769671,-87.76907431197014,2013,Grocery Store
3878,1300801,el milagro,43513.0,grocery store,60623.0,2012-12-06,41.84468732736255,-87.70210293602436,2013,Grocery Store
3884,1098738,cermak produce,1476654.0,grocery store,60618.0,2012-12-05,41.95859672468275,-87.70830957589537,2013,Grocery Store
3885,1324206,silver state city food company,1423780.0,grocery store,60616.0,2012-12-05,41.84847671017228,-87.63204932781976,2013,Grocery Store
3900,1277535,green food mart,1974452.0,grocery store,60639.0,2012-11-29,41.92437241557,-87.72689204211684,2013,Grocery Store
3901,1324224,big daddy,1676296.0,grocery store,60616.0,2012-11-29,41.84808574918593,-87.62681447569304,2013,Grocery Store
3905,1300633,wally s market inc,72825.0,grocery store,60634.0,2012-11-27,41.95272165794881,-87.79136221262823,2013,Grocery Store
3907,1300625,el jaral supermarket  inc ,2189328.0,grocery store,60617.0,2012-11-27,41.71720197060627,-87.55390573725607,2013,Grocery Store
3928,1174350,homan 24 food inc ,2114282.0,grocery store,60623.0,2012-08-27,41.84798346521781,-87.71016371882997,2013,Grocery Store
3932,1234578,sam s food i  llc,2179556.0,grocery store,60623.0,2012-08-13,41.84072734145408,-87.70844206468855,2013,Grocery Store
3933,1234568,7 eleven  33809j,2094351.0,grocery store,60626.0,2012-08-13,42.00561787658474,-87.66078593720823,2013,Grocery Store
3943,1230132,walgreens  11492,2163707.0,grocery store,60638.0,2012-07-16,41.798703799237,-87.74335393697139,2013,Grocery Store
3944,1230098,el rancho,2162558.0,grocery store,60617.0,2012-07-13,41.70447282489701,-87.53543100590585,2013,Grocery Store
3963,1214627,el mexicano,2152689.0,grocery store,60632.0,2012-05-04,41.82175590300105,-87.69447892751417,2013,Grocery Store
3964,1118280,walgreens   13106,2146769.0,drug store grocery,60617.0,2012-04-26,41.68085613627734,-87.53995659734622,2013,Grocery Store
3977,1227285,63rd food mart,2142306.0,grocery store,60629.0,2012-03-15,41.77892076250485,-87.69914649328393,2013,Grocery Store
3985,670873,gee jays,2124848.0,grocery store,60652.0,2012-02-24,41.73696532128921,-87.72165211814503,2013,Grocery Store
3989,577807,richmond food mart,2108848.0,grocery store,60629.0,2012-02-07,41.77897388313836,-87.69689725315772,2013,Grocery Store
3998,659970,fares corporation,2134225.0,grocery store,60647.0,2012-01-12,41.91080584441617,-87.6971595317246,2013,Grocery Store
134302,1360568,carniceria y fruteria,1802424.0,grocery store,60632.0,2013-08-29,41.8207715298359,-87.6994068536533,2013,Grocery Store
138793,1236120,music box theatre,2288930.0,grocery store,60613.0,2013-11-26,41.9498572587634,-87.66394689129923,2013,Grocery Store
139534,1370187,la canasta snack,2152319.0,grocery store,60623.0,2013-11-05,41.851745859411054,-87.698743248205,2013,Grocery Store
