,inspection_id,dba_name,license_,facility_type,inspection_date,latitude,longitude,year,category
3392,1354054,"MI GENTE, INC.",1579353.0,restaurant,2013-08-05,41.85161472524953,-87.70875738862884,2013,Restaurant
3393,1110357,SHERATON CHICAGO HOTEL/TOWER,23333.0,restaurant,2013-08-05,41.88945828010943,-87.62036837642913,2013,Restaurant
3394,1345426,STARBUCKS COFFEE #16309,2147567.0,restaurant,2013-08-02,41.87948932869769,-87.6244981249339,2013,Restaurant
3396,1305367,BIRRIERIA TEPATITLAN,2277773.0,restaurant,2013-08-02,41.800721300516216,-87.70307308068261,2013,Restaurant
3397,1296500,PIZZA HUT,43681.0,restaurant,2013-08-01,41.73369956100708,-87.58498771589495,2013,Restaurant
3401,1353987,ALEGRE RESTAURANT & BAR,16501.0,restaurant,2013-08-01,41.92414989457289,-87.76136988672664,2013,Restaurant
3403,1353976,MCGUIGANS,2246714.0,restaurant,2013-07-31,41.94329510166934,-87.66890904902036,2013,Restaurant
3404,1365210,HAAGEN DAZS CAFE,1119100.0,restaurant,2013-07-31,41.89224916340012,-87.60951804879336,2013,Restaurant
3405,1361267,PINT,1383807.0,restaurant,2013-07-30,41.90970816907281,-87.67619367559715,2013,Restaurant
3409,1353923,LA TAQUERIA LA PUERTA CORP,2183796.0,restaurant,2013-07-30,41.79066695339908,-87.72323574527378,2013,Restaurant
3410,1198982,AMERICA'S DOG,1697404.0,restaurant,2013-07-29,41.92362446590992,-87.64642729029046,2013,Restaurant
3412,1353897,BEST STEAKHOUSE,7082.0,restaurant,2013-07-29,41.96527014438852,-87.6575542920256,2013,Restaurant
3414,1353860,6978 SOUL FOOD,1953650.0,restaurant,2013-07-25,41.90906215302536,-87.80024470792762,2013,Restaurant
3415,1329411,NEW WAVES INC,61212.0,restaurant,2013-07-23,41.945644781746616,-87.778210263651,2013,Restaurant
3420,1324561,FRESHII,1959069.0,restaurant,2013-07-19,41.880768960917806,-87.63387497409452,2013,Restaurant
3421,1361230,HIGH DIVE,2008835.0,restaurant,2013-07-19,41.89603792760617,-87.67606493977472,2013,Restaurant
3422,1353749,STAROPOLSKA RESTAURANT,36337.0,restaurant,2013-07-18,41.93856565739178,-87.75855584047643,2013,Restaurant
